NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Epoch,M,Peri,Node,i,e,n,a,Num_opps,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
0.0,0.0,0.0,17.9,0.15,177.0,0.34,1,2459200.5,169.15327,25.66597,338.04796,19.33481,0.0439912,0.37268214,1.9123923,7,2458746.61915,2.6446334,1.8282639,1.9965207,0.9543457,1.6080382,Hungaria
1.0,0.0,0.0,24.8,0.15,49.0,0.33,6,2459000.5,88.74497,358.98671,185.97724,7.66169,0.1690007,0.697268,1.2595137,1,2458873.22473,1.4135278,1.046655,1.4723724,0.6117702,3.4182173,Amor
0.0,0.0,0.0,17.8,0.15,79.0,0.43,1,2459000.5,204.9166,223.78942,103.33517,17.58361,0.3184327,0.2629575,2.4129353,3,2459590.26603,3.7481634,1.6445778,3.1812928,1.0841326,1.3638794,Object with perihelion distance < 1.665 AU
1.0,0.0,0.0,20.1,0.15,58.0,0.3,1,2459200.5,59.6162,167.45901,344.36099,12.60571,0.6319522,0.65089677,1.3186452,4,2459108.90912,1.5142303,0.4853245,2.1519659,0.3960132,2.9446539,Apollo
1.0,0.0,0.0,22.9,0.15,52.0,0.55,7,2459000.5,267.99967,1.44558,133.61843,36.43686,0.3657499,0.42854203,1.7423702,1,2459215.18218,2.299909,1.1050985,2.3796419,0.7546441,1.7692846,Amor
0.0,0.0,0.0,16.72,0.15,169.0,0.5,0,2459200.5,295.46329,105.45501,339.97656,6.07751,0.075498,0.22278486,2.6949183,11,2459490.18184,4.4240335,2.4914574,2.8983792,1.3397787,1.2920532,MBA
0.0,0.0,0.0,17.5,0.15,71.0,0.33,0,2459000.5,359.51824,274.69655,235.75105,21.3596,0.2133618,0.2728638,2.3541751,5,2459002.26557,3.6120865,1.8518841,2.8564661,1.1235027,1.3828357,Phocaea
0.0,0.0,0.0,18.7,0.15,47.0,0.69,2,2459000.5,179.51494,310.01297,36.36524,22.12176,0.131047,0.38459307,1.8727009,3,2458533.73399,2.5627287,1.6272891,2.1181127,0.9202702,1.6399063,Hungaria
0.0,0.0,0.0,17.9,0.15,122.0,0.44,1,2459000.5,305.35405,238.9955,242.1676,22.83572,0.1335392,0.37659133,1.899135,4,2459145.60678,2.617181,1.645526,2.152744,0.9326341,1.61836,Hungaria
1.0,1.0,0.0,17.52,0.15,645.0,0.54,0,2459200.5,104.84579,88.9283,202.46323,13.62879,0.2776512,0.48469006,1.6050675,8,2458984.18485,2.0334802,1.1594186,2.0507164,0.7406663,1.9676044,Amor
1.0,0.0,0.0,26.8,0.15,28.0,0.64,6,2459000.5,160.61709,262.84166,305.57548,14.15913,0.1160573,0.90250467,1.0604815,1,2458822.53183,1.0920805,0.9374049,1.1835581,0.5230988,11.8600649,Apollo
0.0,0.0,0.0,17.73,0.15,204.0,0.47,0,2459200.5,90.94984,94.08148,34.92036,5.45702,0.4256702,0.22698124,2.6615997,7,2458799.80673,4.3422428,1.528636,3.7945634,1.0896654,1.2992003,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,16.6,0.15,62.0,0.27,0,2459000.5,77.04221,258.13837,127.00134,14.91192,0.1062488,0.18328757,3.0693567,8,2458580.16468,5.3773839,2.7432412,3.3954722,1.5173537,1.2284469,MBA
0.0,0.0,0.0,14.16,0.15,132.0,0.48,0,2459200.5,306.20648,169.18358,251.79678,9.21853,0.1484976,0.08361834,5.1792678,9,2459843.82233,11.7869801,4.410159,5.9483766,2.5325285,1.0927044,Jupiter Trojan
0.0,0.0,0.0,18.3,0.15,123.0,0.27,0,2459200.5,350.13282,300.4221,143.46069,24.54792,0.1135546,0.37747884,1.8961571,5,2459226.63969,2.6110277,1.6808397,2.1114745,0.9358534,1.6207218,Hungaria
0.0,0.0,0.0,13.77,0.15,2137.0,0.41,0,2459200.5,326.39705,287.04065,176.16172,23.00808,0.2944089,0.27962716,2.3160601,17,2459320.67058,3.5247209,1.6341914,2.9979288,1.0576559,1.3960834,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,13.7,0.15,56.0,0.32,0,2459000.5,226.68065,331.6174,33.5549,33.41003,0.1100233,0.08382689,5.1706738,4,2460590.9144,11.7576549,4.6017792,5.7395684,2.5540411,1.0929571,Jupiter Trojan
1.0,0.0,0.0,22.0,0.15,20.0,0.43,7,2459000.5,218.81392,346.10375,58.18858,5.17352,0.8178995,0.24598774,2.5226698,1,2459574.45585,4.0067349,0.4593794,4.5859602,0.4175528,1.3325867,Apollo
0.0,0.0,0.0,18.6,0.15,126.0,0.3,2,2459200.5,33.76704,351.78645,10.54593,21.59132,0.070886,0.39058099,1.8535116,3,2459114.04662,2.5234399,1.7221236,1.9848996,0.922099,1.6564092,Hungaria
0.0,0.0,0.0,19.0,0.15,84.0,0.22,3,2459200.5,74.27683,349.17652,335.72646,18.82968,0.0954151,0.38365921,1.8757385,2,2459006.89893,2.5689665,1.6967647,2.0547123,0.9293308,1.6373622,Hungaria
0.0,0.0,0.0,15.7,0.15,70.0,0.17,0,2459000.5,122.20524,172.12254,151.08865,6.65184,0.1160587,0.12617721,3.936849,8,2458031.97922,7.8112967,3.4799434,4.3937546,1.9419106,1.1468149,Hilda
0.0,0.0,0.0,21.4,0.15,35.0,0.24,4,2459000.5,344.74053,310.65016,346.63821,3.61918,0.3711391,0.28372636,2.2936981,1,2459054.28236,3.4737966,1.4424171,3.1449791,0.9888772,1.404237,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,14.5,0.15,66.0,0.23,0,2459200.5,279.64124,95.51776,341.56083,6.61346,0.0094588,0.08127681,5.2782702,8,2460189.20477,12.1265546,5.2283441,5.3281963,2.638899,1.0898751,Jupiter Trojan
0.0,0.0,0.0,14.21,0.15,1280.0,0.49,0,2459200.5,108.51626,343.47466,214.41491,13.77863,0.1224255,0.22224993,2.6992408,17,2458712.23764,4.4346816,2.3687849,3.0296967,1.3293923,1.2911478,MBA
0.0,0.0,0.0,16.6,0.15,481.0,0.42,0,2459200.5,269.46576,275.75353,272.09351,17.82752,0.0847944,0.37394354,1.9080893,12,2459442.60674,2.6357125,1.746294,2.0698846,0.947185,1.6113544,Hungaria
0.0,0.0,0.0,13.9,0.15,78.0,0.29,0,2459200.5,254.39618,10.42178,111.07895,7.13231,0.1111587,0.08182889,5.2545025,9,2460491.04587,12.0447393,4.6704188,5.8385862,2.5947883,1.0905408,Jupiter Trojan
0.0,0.0,0.0,17.9,0.15,53.0,0.28,0,2459200.5,131.45204,246.72322,296.33472,16.74896,0.0674704,0.35824923,1.963417,6,2458833.57095,2.7511788,1.8309445,2.0958895,0.9772395,1.5710439,Hungaria
0.0,0.0,0.0,14.4,0.15,83.0,0.34,0,2459000.5,227.44464,321.62868,171.77466,7.15074,0.0355648,0.08394525,5.1658125,11,2460579.57016,11.7410776,4.9820914,5.3495336,2.5796392,1.0931005,Jupiter Trojan
1.0,0.0,0.0,25.5,0.15,36.0,0.42,6,2459000.5,301.45234,12.39397,70.58674,9.63657,0.2435605,0.64881839,1.3214598,1,2459090.73737,1.519081,0.9996044,1.6433152,0.6215343,2.9264816,Apollo
0.0,0.0,0.0,18.6,0.15,155.0,0.45,1,2459200.5,158.29924,294.68302,51.13868,2.80658,0.204556,0.33109913,2.0693344,9,2458722.3977,2.976775,1.6460396,2.4926292,0.9913735,1.5058745,Object with perihelion distance < 1.665 AU
